nazione,anno,cm
IT,2021,"[0.0, 0.0, 0.0004, 0.0024, 0.0055, 0.0099, 0.017, 0.0263, 0.0403, 0.0572, 0.0824, 0.1122, 0.1484, 0.1888, 0.2356, 0.2864, 0.3409, 0.393, 0.4461, 0.5038, 0.5578, 0.6072, 0.6553, 0.7012, 0.7379, 0.7725, 0.7866, 0.8017, 0.8173]"
IT,2022,"[0.0, 0.0, 0.0004, 0.0024, 0.0063, 0.0111, 0.0198, 0.0309, 0.0474, 0.0664, 0.0961, 0.1322, 0.1741, 0.2213, 0.2755, 0.333, 0.3953, 0.4565, 0.5128, 0.5721, 0.6243, 0.6706, 0.7115, 0.7452, 0.7711, 0.7948, 0.8036, 0.813, 0.821]"
IT,2023,"[0.0, 0.0, 0.0011, 0.0039, 0.0091, 0.0162, 0.0279, 0.0428, 0.0652, 0.0933, 0.1341, 0.1814, 0.2373, 0.2971, 0.3634, 0.4339, 0.5013, 0.5647, 0.6236, 0.6799, 0.7298, 0.7732, 0.8066, 0.8378, 0.8586, 0.8778, 0.885, 0.892, 0.8969]"
IT,2024,"[0.0, 0.0, 0.0011, 0.005, 0.0117, 0.0213, 0.0361, 0.0559, 0.0825, 0.1175, 0.1666, 0.2202, 0.2863, 0.3591, 0.4356, 0.5142, 0.5883, 0.6528, 0.7124, 0.7618, 0.8005, 0.8328, 0.8598, 0.8815, 0.8956, 0.9093, 0.9149, 0.9212, 0.9263]"
DE,2021,"[0.0, 0.0, 0.0085, 0.0262, 0.0518, 0.0832, 0.1274, 0.1864, 0.2628, 0.3484, 0.4328, 0.518, 0.6036, 0.6799, 0.7446, 0.7983, 0.8358, 0.8673, 0.8923, 0.9124, 0.9294, 0.9438, 0.9529, 0.9623, 0.967, 0.9698, 0.9719, 0.9741]"
DE,2022,"[0.0, 0.0, 0.0092, 0.0285, 0.055, 0.0908, 0.1412, 0.2073, 0.2916, 0.385, 0.4756, 0.5656, 0.6505, 0.7266, 0.7892, 0.8392, 0.87, 0.8949, 0.9153, 0.9327, 0.9441, 0.9542, 0.9595, 0.9676, 0.9712, 0.9733, 0.9747, 0.9772]"
DE,2023,"[0.0, 0.0, 0.0105, 0.0373, 0.077, 0.1282, 0.1953, 0.2737, 0.3634, 0.4585, 0.5448, 0.6292, 0.7076, 0.7731, 0.8292, 0.8758, 0.9093, 0.9329, 0.9474, 0.9569, 0.9638, 0.9691, 0.9727, 0.9748, 0.9764, 0.9776, 0.9783, 0.9788, 0.9787]"
DE,2024,"[0.0, 0.0, 0.0113, 0.0426, 0.0902, 0.1526, 0.2276, 0.3138, 0.4113, 0.5138, 0.6034, 0.6843, 0.7542, 0.8136, 0.8634, 0.9035, 0.9293, 0.9452, 0.9556, 0.9627, 0.968, 0.9719, 0.9743, 0.9764, 0.9782, 0.9796, 0.9803, 0.9807, 0.9811]"
FR,2021,"[0.0, 0.0, 0.0009, 0.0047, 0.0112, 0.0201, 0.0343, 0.0566, 0.0878, 0.1287, 0.1801, 0.2385, 0.3112, 0.3917, 0.4787, 0.5698, 0.6559, 0.7375, 0.8072, 0.863, 0.9056, 0.9354, 0.9529, 0.9645, 0.9673, 0.9737, 0.9756, 0.9784, 0.9795]"
FR,2022,"[0.0, 0.0, 0.0012, 0.0064, 0.0139, 0.026, 0.0437, 0.0692, 0.106, 0.1522, 0.2122, 0.2819, 0.3604, 0.4412, 0.5308, 0.6247, 0.71, 0.7805, 0.8391, 0.8848, 0.9239, 0.9472, 0.9567, 0.964, 0.9681, 0.9728, 0.9758, 0.9783, 0.9807]"
